,Unnamed: 0,Unnamed: 0.1,address,area,city,detail,detail_info,location,name,province,street_id,telephone,uid,lat,lng,tag,lng_w,lat_w
0,0,0,河南省洛阳市洛龙区S319(洛宜公路),洛龙区,洛阳市,1,"{'tag': '运动健身;体育场馆', 'type': 'life', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=f46bd14fa5701566e215f955&output=html&source=placeapi_v2', 'image_num': '2', 'children': []}","{'lat': 34.664203, 'lng': 112.473752}",Garden Court花园球馆(花卉市场店),河南省,,,f46bd14fa5701566e215f955,34.664203,112.473752,运动健身;体育场馆,,
1,1,1,河南省洛阳市洛龙区太康路自行车赛场西侧,洛龙区,洛阳市,1,"{'tag': '运动健身;体育场馆', 'type': 'life', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=430b7990b8a93698c2f1cf2e&output=html&source=placeapi_v2', 'image_num': '1', 'children': []}","{'lat': 34.630555, 'lng': 112.436195}",体育中心-室外篮球场,河南省,430b7990b8a93698c2f1cf2e,,430b7990b8a93698c2f1cf2e,34.630555,112.436195,运动健身;体育场馆,,
2,2,2,洛阳市洛龙区开元大道286号洛阳会展中心5楼,洛龙区,洛阳市,1,"{'tag': '运动健身;体育场馆', 'navi_location': {'lng': 112.43678809304, 'lat': 34.62391942249}, 'type': 'life', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=215bd5e5e3b4534dddee8b57&output=html&source=placeapi_v2', 'overall_rating': '0.0', 'image_num': '2', 'comment_num': '1', 'children': []}","{'lat': 34.623741, 'lng': 112.437417}",超越羽毛球馆,河南省,,(0379)65997636,215bd5e5e3b4534dddee8b57,34.623741,112.437417,运动健身;体育场馆,,
3,3,3,河南省洛阳市西工区汉宫路5号乾元木材公司院内,西工区,洛阳市,1,"{'tag': '运动健身;体育场馆', 'type': 'life', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=d68f98c111a065154054d73d&output=html&source=placeapi_v2', 'overall_rating': '4.0', 'image_num': '4', 'comment_num': '3', 'children': []}","{'lat': 34.695521, 'lng': 112.426276}",7号球馆,河南省,,"(0379)61129817,15138798770",d68f98c111a065154054d73d,34.695521,112.426276,运动健身;体育场馆,,
4,4,4,河南省洛阳市西工区纱厂北路4号纱厂北路丹尼斯向北100米(食品城),西工区,洛阳市,1,"{'tag': '运动健身;体育场馆', 'type': 'life', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=e7841c706f04b930c51e5128&output=html&source=placeapi_v2', 'overall_rating': '5.0', 'image_num': '10', 'comment_num': '3', 'children': []}","{'lat': 34.691321, 'lng': 112.435232}",袋鼠篮球公园,河南省,,18103796907,e7841c706f04b930c51e5128,34.691321,112.435232,运动健身;体育场馆,,
5,5,5,河南省洛阳市洛龙区洛河南岸洛阳新区,洛龙区,洛阳市,1,"{'tag': '运动健身;体育场馆', 'type': 'life', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=806d4d9b577137be96ca0752&output=html&source=placeapi_v2', 'overall_rating': '5.0', 'image_num': '1', 'comment_num': '2', 'children': []}","{'lat': 34.623437, 'lng': 112.440247}",新区体育中心篮球馆,河南省,806d4d9b577137be96ca0752,,806d4d9b577137be96ca0752,34.623437,112.440247,运动健身;体育场馆,,
6,6,6,华夏路与春城路交叉口东南150米,涧西区,洛阳市,1,"{'tag': '运动健身;体育场馆', 'type': 'life', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=f14e340c59b018194207c19a&output=html&source=placeapi_v2', 'image_num': '1', 'children': []}","{'lat': 34.625851, 'lng': 112.399772}",春盈羽球馆,河南省,,(0379)60658167,f14e340c59b018194207c19a,34.625851,112.399772,运动健身;体育场馆,,
7,7,7,健康路与航空路交叉口南50米,西工区,洛阳市,1,"{'tag': '运动健身;体育场馆', 'type': 'life', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=7b54f15737294c0481288a5a&output=html&source=placeapi_v2', 'image_num': '1', 'children': []}","{'lat': 34.671668, 'lng': 112.447659}",篮球馆,河南省,,,7b54f15737294c0481288a5a,34.671668,112.447659,运动健身;体育场馆,,
8,8,8,丽新路青少年宫,涧西区,洛阳市,1,"{'tag': '运动健身;体育场馆', 'type': 'life', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=cead7693174b5420d42ce2b1&output=html&source=placeapi_v2', 'image_num': '1', 'children': []}","{'lat': 34.661976, 'lng': 112.416052}",洛阳市青少年宫-羽毛球馆,河南省,cead7693174b5420d42ce2b1,,cead7693174b5420d42ce2b1,34.661976,112.416052,运动健身;体育场馆,,
9,9,9,河南省洛阳市涧西区陇北二路19号,涧西区,洛阳市,1,"{'tag': '运动健身;体育场馆', 'type': 'life', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=2ed0096b93a3a59008f5eb1e&output=html&source=placeapi_v2', 'image_num': '3', 'children': []}","{'lat': 34.672487, 'lng': 112.387299}",乒乓球俱乐部,河南省,2ed0096b93a3a59008f5eb1e,,2ed0096b93a3a59008f5eb1e,34.672487,112.387299,运动健身;体育场馆,,
